variable,alias
atencion_ultimo_parto-21,"a0816-Homeópata, acupunturista."
atencion_ultimo_parto-22,a0816-Casa de la partera.
atencion_ultimo_parto-23,a0816-Casa de la entrevistada.
atencion_ultimo_parto-24,a0816-Otro (especifique).
atencion_ultimo_parto-25,a0816-No sabe / No recuerda.
atencion_ultimo_parto-26,a0816-No responde.
atencion_ultimo_parto-27,a0816-Ninguna.
bajo_peso-1,bajo_peso-SÍ.
bajo_peso-0,bajo_peso-NO.
beneficio_1_recibido-1,h0607a-Acciones de detección y prevención para toda la familia
beneficio_1_recibido-2,h0607a-Medicina Ambulatoria
beneficio_1_recibido-3,h0607a-Odontología
beneficio_1_recibido-4,h0607a-Salud Reproductiva
beneficio_1_recibido-5,"h0607a-Embarazo, parto y recién nacido"
beneficio_1_recibido-6,h0607a-Rehabilitación
beneficio_1_recibido-7,h0607a-Hospitalización
beneficio_1_recibido-8,h0607a-Urgencias
beneficio_1_recibido-9,h0607a-Cirugía
beneficio_1_recibido-99,h0607a-No sabe/No responde
beneficio_2_recibido-1,h0607b-Acciones de detección y prevención para toda la familia
beneficio_2_recibido-2,h0607b-Medicina Ambulatoria
beneficio_2_recibido-3,h0607b-Odontología
beneficio_2_recibido-4,h0607b-Salud Reproductiva
beneficio_2_recibido-5,"h0607b-Embarazo, parto y recién nacido"
beneficio_2_recibido-6,h0607b-Rehabilitación
beneficio_2_recibido-7,h0607b-Hospitalización
beneficio_2_recibido-8,h0607b-Urgencias
beneficio_2_recibido-9,h0607b-Cirugía
beneficio_2_recibido-99,h0607b-No sabe/No responde
beneficio_3_recibido-1,h0607c-Acciones de detección y prevención para toda la familia
beneficio_3_recibido-2,h0607c-Medicina Ambulatoria
beneficio_3_recibido-3,h0607c-Odontología
beneficio_3_recibido-4,h0607c-Salud Reproductiva
beneficio_3_recibido-5,"h0607c-Embarazo, parto y recién nacido"
beneficio_3_recibido-6,h0607c-Rehabilitación
beneficio_3_recibido-7,h0607c-Hospitalización
beneficio_3_recibido-8,h0607c-Urgencias
beneficio_3_recibido-9,h0607c-Cirugía
beneficio_3_recibido-99,h0607c-No sabe/No responde
beneficio_4_recibido-1,h0607d-Acciones de detección y prevención para toda la familia
beneficio_4_recibido-2,h0607d-Medicina Ambulatoria
beneficio_4_recibido-3,h0607d-Odontología
beneficio_4_recibido-4,h0607d-Salud Reproductiva
beneficio_4_recibido-5,"h0607d-Embarazo, parto y recién nacido"
beneficio_4_recibido-6,h0607d-Rehabilitación
beneficio_4_recibido-7,h0607d-Hospitalización
beneficio_4_recibido-8,h0607d-Urgencias
beneficio_4_recibido-9,h0607d-Cirugía
beneficio_4_recibido-99,h0607d-No sabe/No responde
beneficio_5_recibido-1,h0607e-Acciones de detección y prevención para toda la familia
beneficio_5_recibido-2,h0607e-Medicina Ambulatoria
beneficio_5_recibido-3,h0607e-Odontología
beneficio_5_recibido-4,h0607e-Salud Reproductiva
beneficio_5_recibido-5,"h0607e-Embarazo, parto y recién nacido"
beneficio_5_recibido-6,h0607e-Rehabilitación
beneficio_5_recibido-7,h0607e-Hospitalización
beneficio_5_recibido-8,h0607e-Urgencias
beneficio_5_recibido-9,h0607e-Cirugía
beneficio_5_recibido-99,h0607e-No sabe/No responde
brazo_toma_presion-1,an29-Brazo derecho
brazo_toma_presion-2,an29-Brazo izquierdo
brazo_toma_presion-3,an29-No se tomó
busco_atencion_salud-1,h0404-Sí
busco_atencion_salud-2,h0404-No
cambio_comida_falta_agua-1,h0805-Nunca (0 veces en las últimas 4 semanas)
cambio_comida_falta_agua-2,h0805-Raramente (1-2 veces en las últimas 4 semanas)
cambio_comida_falta_agua-3,h0805-A veces (3-10 veces en las últimas 4 semanas)
cambio_comida_falta_agua-4,h0805-Frecuentemente (11-20 veces en las últimas 4 semana)
cambio_comida_falta_agua-5,h0805-Siempre (Más de 20 veces en las últimas 4 semanas)
cambio_comida_falta_agua-88,h0805-No aplica
cambio_comida_falta_agua-99,h0805-No sabe
cambio_deporte_pandemia-1,h0904-aumentó?
cambio_deporte_pandemia-2,h0904-disminuyó?
cambio_deporte_pandemia-3,h0904-fue igual?
cambio_gastos _alimentos-1,h1402-más altos?
cambio_gastos _alimentos-2,h1402-iguales?
cambio_gastos _alimentos-3,h1402-más bajos?
cambio_gastos_hogar-1,h1401-más altos?
cambio_gastos_hogar-2,h1401-iguales?
cambio_gastos_hogar-3,h1401-más bajos?
